date,cases,deaths,uf,estimated_population_2019,city_ibge_code,confirmed_per_100k_inhabitants,death_rate
2020-04-07,9,0,AC,15256,1200013,58.99318,
2020-04-07,1,0,AC,19761,1200385,5.06047,
2020-04-07,1,0,AC,18504,1200807,5.40424,
2020-04-07,39,1,AC,407319,1200401,9.57481,0.0256
2020-04-07,50,1,AC,881935,12,5.66935,0.02
2020-04-07,6,0,AL,,,,
2020-04-07,24,2,AL,1018948,2704302,2.35537,0.0833
2020-04-07,2,0,AL,51901,2704708,3.85349,
2020-04-07,1,0,AL,73218,2706307,1.36578,
2020-04-07,1,0,AL,20066,2707503,4.98355,
2020-04-07,34,2,AL,3337357,27,1.01877,0.0588
2020-04-07,1,0,AM,21010,1300102,4.75964,
2020-04-07,1,0,AM,34308,1300706,2.91477,
2020-04-07,2,0,AM,30225,1301159,6.61704,
2020-04-07,3,0,AM,48296,1301852,6.21169,
2020-04-07,9,0,AM,101337,1301902,8.88126,
2020-04-07,42,3,AM,97377,1302504,43.13133,0.0714
2020-04-07,560,19,AM,2182763,1302603,25.65556,0.0339
2020-04-07,1,0,AM,19454,1303205,5.14033,
2020-04-07,4,1,AM,114273,1303403,3.50039,0.25
2020-04-07,7,0,AM,21602,1303700,32.40441,
2020-04-07,1,0,AM,45564,1303809,2.19472,
2020-04-07,2,0,AM,39299,1303908,5.08919,
2020-04-07,3,0,AM,18755,1304237,15.99573,
2020-04-07,636,23,AM,4144597,13,15.34528,0.0362
2020-04-07,0,1,AP,,,,
2020-04-07,47,1,AP,503327,1600303,9.33787,0.0213
2020-04-07,1,0,AP,27270,1600501,3.66703,
2020-04-07,3,0,AP,121364,1600600,2.4719,
2020-04-07,51,2,AP,845731,16,6.03029,0.0392
2020-04-07,1,1,BA,17040,2900355,5.86854,1.0
2020-04-07,5,0,BA,151596,2900702,3.29824,
2020-04-07,2,0,BA,53578,2902708,3.73288,
2020-04-07,1,0,BA,31603,2902906,3.16426,
2020-04-07,3,0,BA,5714,2903102,52.50263,
2020-04-07,1,0,BA,155439,2903201,0.64334,
2020-04-07,1,0,BA,23328,2903409,4.28669,
2020-04-07,7,0,BA,67195,2904605,10.41744,
2020-04-07,1,0,BA,33470,2904902,2.98775,
2020-04-07,10,0,BA,299132,2905701,3.34301,
2020-04-07,1,0,BA,71206,2906006,1.40438,
2020-04-07,1,0,BA,26176,2906204,3.82029,
2020-04-07,1,0,BA,87076,2906501,1.14842,
2020-04-07,1,0,BA,54704,2907509,1.82802,
2020-04-07,1,0,BA,16993,2908002,5.88478,
2020-04-07,1,0,BA,33153,2908507,3.01632,
2020-04-07,1,0,BA,25837,2908606,3.87042,
2020-04-07,1,0,BA,81089,2910057,1.23321,
2020-04-07,37,0,BA,614872,2910800,6.01751,
2020-04-07,1,0,BA,32403,2911204,3.08613,
2020-04-07,3,0,BA,15312,2912905,19.59248,
2020-04-07,1,0,BA,26927,2913200,3.71374,
2020-04-07,18,0,BA,162327,2913606,11.08873,
2020-04-07,6,0,BA,45873,2913903,13.07959,
2020-04-07,12,0,BA,213223,2914802,5.62791,
2020-04-07,3,0,BA,14579,2915205,20.57754,
2020-04-07,3,0,BA,20491,2915502,14.64057,
2020-04-07,1,0,BA,64486,2915601,1.55072,
2020-04-07,2,1,BA,76147,2916401,2.6265,0.5
2020-04-07,1,0,BA,19747,2916807,5.06406,
2020-04-07,4,0,BA,20382,2917102,19.62516,
2020-04-07,1,0,BA,155966,2918001,0.64117,
2020-04-07,3,0,BA,216707,2918407,1.38436,
2020-04-07,19,1,BA,198440,2919207,9.57468,0.0526
2020-04-07,1,0,BA,22688,2921104,4.40762,
2020-04-07,1,0,BA,26947,2922904,3.71099,
2020-04-07,1,0,BA,9019,2923506,11.0877,
2020-04-07,1,0,BA,10707,2924702,9.33968,
2020-04-07,1,0,BA,39519,2925204,2.53043,
2020-04-07,10,0,BA,148686,2925303,6.72558,
2020-04-07,4,0,BA,28174,2925501,14.19749,
2020-04-07,269,10,BA,2872347,2927408,9.36516,0.0372
2020-04-07,4,0,BA,27778,2927705,14.39988,
2020-04-07,1,0,BA,39845,2928109,2.50973,
2020-04-07,1,0,BA,9058,2928950,11.03996,
2020-04-07,1,0,BA,39802,2929206,2.51244,
2020-04-07,1,0,BA,134377,2930709,0.74417,
2020-04-07,3,0,BA,160487,2931350,1.86931,
2020-04-07,3,0,BA,20519,2932705,14.6206,
2020-04-07,1,1,BA,19178,2932804,5.21431,1.0
2020-04-07,4,0,BA,338480,2933307,1.18175,
2020-04-07,462,14,BA,14873064,29,3.10629,0.0303
2020-04-07,1,0,CE,43452,2300754,2.30139,
2020-04-07,24,0,CE,80271,2301000,29.89872,
2020-04-07,2,1,CE,74547,2301109,2.68287,0.5
2020-04-07,1,0,CE,53573,2302206,1.86661,
2020-04-07,1,0,CE,76997,2302800,1.29875,
2020-04-07,2,1,CE,18699,2303303,10.69576,0.5
2020-04-07,1,0,CE,71743,2303501,1.39386,
2020-04-07,1,0,CE,20698,2303600,4.83138,
2020-04-07,14,0,CE,361400,2303709,3.87382,
2020-04-07,1,0,CE,75074,2304103,1.33202,
2020-04-07,1,0,CE,18063,2304236,5.53618,
2020-04-07,2,1,CE,53618,2304285,3.73009,0.5
2020-04-07,1,1,CE,19450,2304301,5.14139,1.0
2020-04-07,1053,30,CE,2669342,2304400,39.44792,0.0285
2020-04-07,1,0,CE,16480,2304459,6.06796,
2020-04-07,1,0,CE,40642,2305001,2.46051,
2020-04-07,6,0,CE,67337,2305233,8.91041,
2020-04-07,3,0,CE,68018,2305407,4.4106,
2020-04-07,2,1,CE,102498,2305506,1.95126,0.5
2020-04-07,12,0,CE,,,,
2020-04-07,1,0,CE,11593,2305654,8.62589,
2020-04-07,1,0,CE,38166,2305902,2.62013,
2020-04-07,1,1,CE,37980,2306256,2.63296,1.0
2020-04-07,1,0,CE,129358,2306405,0.77305,
2020-04-07,3,1,CE,34682,2306900,8.65002,0.3333
2020-04-07,3,0,CE,274207,2307304,1.09406,
2020-04-07,1,0,CE,31508,2307502,3.1738,
2020-04-07,1,0,CE,59540,2307601,1.67954,
2020-04-07,17,1,CE,227886,2307650,7.45987,0.0588
2020-04-07,2,0,CE,128978,2307700,1.55065,
2020-04-07,1,0,CE,47962,2308104,2.08498,
2020-04-07,2,0,CE,28607,2309409,6.9913,
2020-04-07,2,0,CE,83432,2309706,2.39716,
2020-04-07,1,0,CE,43258,2310506,2.31171,
2020-04-07,1,0,CE,20567,2310852,4.86216,
2020-04-07,4,0,CE,87728,2311306,4.55955,
2020-04-07,1,0,CE,81082,2311405,1.23332,
2020-04-07,1,0,CE,32452,2312007,3.08147,
2020-04-07,1,1,CE,43703,2312205,2.28817,1.0
2020-04-07,1,0,CE,25496,2312700,3.92218,
2020-04-07,11,0,CE,208935,2312908,5.2648,
2020-04-07,1,1,CE,75946,2313401,1.31673,1.0
2020-04-07,1188,40,CE,9132078,23,13.00909,0.0337
2020-04-07,503,12,DF,3015268,5300108,16.68177,0.0239
2020-04-07,503,12,DF,3015268,53,16.68177,0.0239
2020-04-07,1,0,ES,30586,3200102,3.26947,
2020-04-07,0,0,ES,7836,3200359,,
2020-04-07,5,0,ES,101220,3200607,4.93974,
2020-04-07,1,0,ES,15037,3201001,6.65026,
2020-04-07,1,0,ES,208972,3201209,0.47853,
2020-04-07,17,0,ES,381285,3201308,4.45861,
2020-04-07,2,0,ES,37534,3201407,5.3285,
2020-04-07,3,0,ES,122499,3201506,2449,
2020-04-07,1,0,ES,21509,3202207,4.64922,
2020-04-07,3,0,ES,124859,3202405,2.40271,
2020-04-07,1,,ES,12479,3202504,8.01346,
2020-04-07,0,0,ES,,,,
2020-04-07,1,0,ES,34348,3202801,2.91138,
2020-04-07,8,0,ES,173555,3203205,4.60949,
2020-04-07,1,0,ES,50110,3203908,1.99561,
2020-04-07,1,0,ES,23590,3204609,4.23908,
2020-04-07,4,1,ES,130611,3204906,3.06253,0.25
