Date,Value
2020-03-29,4256
2020-03-28,3904
2020-03-27,3417
2020-03-26,2915
2020-03-25,2433
2020-03-24,2199
2020-03-23,1891
2020-03-22,1546
2020-03-21,1128
2020-03-20,1012
2020-03-19,694
2020-03-18,535
2020-03-17,364
2020-03-16,301
2020-03-15,231
2020-03-14,147
2020-03-13,120
2020-03-12,109
2020-03-11,69
2020-03-10,35
2020-03-09,30
2020-03-08,25
2020-03-07,19
2020-03-06,13
2020-03-05,8
2020-03-04,3
2020-03-03,2
2020-03-02,2
2020-03-01,2
2020-02-29,2
2020-02-28,1
2020-02-27,1
2020-02-26,1
2020-02-25,1
